Tamanho Loop,%GC_Loop
0.0,0.0
0.0,0.3333
0.0,0.6667
0.0,1.0
0.0769,0.0
0.0769,0.25
0.0769,0.5
0.0769,0.75
0.0769,1.0
0.1538,0.0
0.1538,0.2
0.1538,0.4
0.1538,0.6
0.1538,0.8
0.1538,1.0
0.2308,0.0
0.2308,0.1667
0.2308,0.3333
0.2308,0.5
0.2308,0.6667
0.2308,0.8333
0.2308,1.0
0.3077,0.0
0.3077,0.1429
0.3077,0.2857
0.3077,0.4286
0.3077,0.5714
0.3077,0.7143
0.3077,0.8571
0.3077,1.0
0.3846,0.0
0.3846,0.125
0.3846,0.25
0.3846,0.375
0.3846,0.5
0.3846,0.625
0.3846,0.75
0.3846,0.875
0.3846,1.0
0.4615,0.0
0.4615,0.1111
0.4615,0.2222
0.4615,0.3333
0.4615,0.4444
0.4615,0.5556
0.4615,0.6667
0.4615,0.7778
0.4615,0.8889
0.4615,1.0
0.5385,0.0
0.5385,0.1
0.5385,0.2
0.5385,0.3
0.5385,0.4
0.5385,0.5
0.5385,0.6
0.5385,0.7
0.5385,0.8
0.5385,0.9
0.5385,1.0
0.6154,0.0
0.6154,0.0909
0.6154,0.1818
0.6154,0.2727
0.6154,0.3636
0.6154,0.4545
0.6154,0.5455
0.6154,0.6364
0.6154,0.7273
0.6154,0.8182
0.6154,0.9091
0.6154,1.0
0.6923,0.0
0.6923,0.0833
0.6923,0.1667
0.6923,0.25
0.6923,0.3333
0.6923,0.4167
0.6923,0.5
0.6923,0.5833
0.6923,0.6667
0.6923,0.75
0.6923,0.8333
0.6923,0.9167
0.6923,1.0
0.7692,0.0
0.7692,0.0769
0.7692,0.1538
0.7692,0.2308
0.7692,0.3077
0.7692,0.3846
0.7692,0.4615
0.7692,0.5385
0.7692,0.6154
0.7692,0.6923
0.7692,0.7692
0.7692,0.8462
0.7692,0.9231
0.7692,1.0
0.8462,0.0
0.8462,0.0714
0.8462,0.1429
0.8462,0.2143
0.8462,0.2857
0.8462,0.3571
0.8462,0.4286
0.8462,0.5
0.8462,0.5714
0.8462,0.6429
0.8462,0.7143
0.8462,0.7857
0.8462,0.8571
0.8462,0.9286
0.8462,1.0
0.9231,0.0
0.9231,0.0667
0.9231,0.1333
0.9231,0.2
0.9231,0.2667
0.9231,0.3333
0.9231,0.4
0.9231,0.4667
0.9231,0.5333
0.9231,0.6
0.9231,0.6667
0.9231,0.7333
0.9231,0.8
0.9231,0.8667
0.9231,0.9333
0.9231,1.0
1.0,0.0
1.0,0.0625
1.0,0.125
1.0,0.1875
1.0,0.25
1.0,0.3125
1.0,0.375
1.0,0.4375
1.0,0.5
1.0,0.5625
1.0,0.625
1.0,0.6875
1.0,0.75
1.0,0.8125
1.0,0.875
1.0,0.9375
1.0,1.0
